event_type,day_of_week,time_slot,weather,marketing_effort,social_media_reach,venue_capacity,is_holiday,competing_event,past_avg_attendance,attendance
Fest,Friday,Morning,Cloudy,Medium,6110,200,0,1,156.3,200
Workshop,Wednesday,Afternoon,Cloudy,Medium,3239,200,0,0,34.4,116
Seminar,Tuesday,Afternoon,Sunny,Medium,4149,500,0,1,213.0,164
Technical,Friday,Afternoon,Sunny,Medium,4492,2000,0,0,919.3,1041
Technical,Friday,Afternoon,Cloudy,Medium,1461,750,0,0,368.7,423
Fest,Tuesday,Morning,Cloudy,Medium,516,200,0,1,68.3,107
Technical,Saturday,Morning,Rainy,Low,3163,500,0,0,229.6,195
Technical,Friday,Afternoon,Cloudy,High,2387,2000,1,1,841.4,981
Workshop,Friday,Afternoon,Sunny,Medium,1903,150,0,0,20.0,122
Seminar,Friday,Afternoon,Sunny,High,514,200,0,0,87.0,140
Cultural,Wednesday,Morning,Sunny,Medium,4090,750,0,1,346.7,331
Cultural,Monday,Evening,Sunny,Low,4057,1000,1,1,641.0,555
Seminar,Tuesday,Afternoon,Sunny,Low,762,2000,0,0,482.1,210
Cultural,Tuesday,Afternoon,Sunny,High,2892,150,1,0,144.1,150
Technical,Monday,Evening,Sunny,High,5799,500,1,0,244.0,413
Cultural,Saturday,Evening,Sunny,High,3980,300,0,0,149.2,300
Cultural,Wednesday,Morning,Rainy,Low,4421,1500,0,0,860.2,389
Fest,Wednesday,Evening,Sunny,Low,5911,2000,0,0,1646.7,2000
Workshop,Thursday,Morning,Rainy,Medium,768,150,0,0,71.5,98
Fest,Monday,Morning,Sunny,Low,3346,150,0,0,78.7,150
Technical,Saturday,Evening,Sunny,Low,5202,100,0,0,20.0,100
Fest,Saturday,Afternoon,Cloudy,Medium,1043,150,0,0,165.0,150
Fest,Wednesday,Evening,Sunny,High,287,750,0,0,593.5,750
Workshop,Monday,Morning,Sunny,Medium,1336,200,0,0,148.8,151
Technical,Thursday,Evening,Sunny,Medium,5352,300,0,1,242.1,239
Fest,Friday,Afternoon,Sunny,Medium,4625,1500,1,0,1012.3,1500
Workshop,Sunday,Afternoon,Sunny,High,7090,300,0,0,78.0,145
Seminar,Thursday,Morning,Sunny,Medium,8733,200,0,0,155.8,172
Fest,Saturday,Morning,Sunny,High,3202,200,0,0,130.6,200
Seminar,Monday,Morning,Sunny,Medium,5020,750,0,0,178.9,160
Workshop,Wednesday,Evening,Rainy,Medium,4563,1500,0,1,454.3,210
Fest,Tuesday,Afternoon,Sunny,High,2138,2000,0,0,1583.2,2000
Seminar,Saturday,Morning,Cloudy,Medium,1078,2000,0,0,353.2,258
Fest,Saturday,Evening,Cloudy,Medium,439,300,0,0,290.5,300
Workshop,Friday,Afternoon,Cloudy,Medium,2795,1000,0,0,249.5,243
Seminar,Sunday,Evening,Cloudy,Low,4021,1500,0,0,183.1,170
Seminar,Tuesday,Evening,Cloudy,Medium,4936,300,0,1,161.6,121
Cultural,Saturday,Evening,Sunny,Medium,2139,150,0,0,165.0,150
Seminar,Sunday,Afternoon,Cloudy,Medium,6686,2000,1,1,419.3,244
Seminar,Tuesday,Afternoon,Sunny,High,3248,100,1,0,20.0,100
Technical,Friday,Morning,Sunny,High,3079,2000,1,1,793.1,753
Sports,Monday,Evening,Sunny,High,100,750,0,0,404.5,560
Technical,Friday,Evening,Sunny,Low,1465,150,1,0,94.8,150
Seminar,Monday,Evening,Cloudy,Low,3170,1000,0,1,198.1,98
Technical,Friday,Morning,Sunny,Medium,5579,150,0,0,20.0,114
Sports,Sunday,Morning,Sunny,Low,100,200,0,0,28.4,88
Workshop,Tuesday,Evening,Cloudy,Low,1958,1000,0,0,237.6,200
Sports,Monday,Evening,Cloudy,High,100,1500,0,1,690.8,761
Seminar,Saturday,Morning,Sunny,Medium,4152,150,0,1,20.0,83
Cultural,Sunday,Afternoon,Sunny,Low,5598,300,0,0,40.1,168
Workshop,Wednesday,Afternoon,Cloudy,Low,3460,1500,0,0,432.5,300
Cultural,Friday,Morning,Sunny,Low,3675,300,0,1,231.2,262
Fest,Tuesday,Morning,Cloudy,Medium,7511,150,0,0,159.3,150
Technical,Friday,Evening,Cloudy,High,6640,500,0,0,191.6,403
Workshop,Wednesday,Afternoon,Sunny,High,1548,300,0,0,145.7,203
Seminar,Monday,Afternoon,Sunny,Low,3869,200,0,1,20.0,103
Technical,Monday,Morning,Sunny,Medium,384,1500,0,1,613.5,311
Cultural,Thursday,Evening,Sunny,High,5358,100,0,1,20.0,100
Fest,Wednesday,Evening,Cloudy,Medium,3579,750,1,0,581.9,750
Cultural,Sunday,Afternoon,Cloudy,High,3744,500,0,0,296.5,500
Sports,Tuesday,Evening,Rainy,Medium,2569,300,0,0,195.7,188
Workshop,Friday,Afternoon,Rainy,Medium,4502,1000,0,0,285.5,259
Fest,Monday,Morning,Cloudy,High,4926,150,0,1,119.1,150
Seminar,Saturday,Morning,Sunny,Medium,2133,2000,0,0,544.8,358
Fest,Monday,Evening,Sunny,Low,1491,150,0,0,70.2,150
Technical,Monday,Evening,Rainy,High,3968,750,1,1,368.6,322
Cultural,Monday,Evening,Rainy,Low,2547,300,0,0,200.8,195
Technical,Monday,Afternoon,Cloudy,Medium,2497,500,0,0,362.6,352
Technical,Friday,Evening,Sunny,High,4187,100,0,0,20.0,100
Fest,Friday,Afternoon,Sunny,Medium,5375,2000,0,1,1545.9,2000
Technical,Friday,Evening,Sunny,Medium,5268,750,0,0,261.7,455
Seminar,Friday,Morning,Sunny,High,1378,200,0,0,85.9,166
Seminar,Monday,Afternoon,Sunny,High,2967,100,0,0,20.0,96
Seminar,Wednesday,Morning,Rainy,Low,4688,1000,0,1,238.8,112
Cultural,Thursday,Afternoon,Cloudy,Medium,4805,1000,0,0,436.4,533
Cultural,Monday,Afternoon,Sunny,Medium,2159,500,0,1,248.2,268
Sports,Monday,Afternoon,Cloudy,Medium,2539,750,1,1,363.9,328
Seminar,Wednesday,Morning,Sunny,Medium,2448,200,0,0,38.2,94
Workshop,Monday,Evening,Sunny,Low,2414,1000,0,1,327.6,173
Sports,Monday,Afternoon,Sunny,Medium,2790,500,1,1,126.7,162
Cultural,Thursday,Afternoon,Sunny,Low,996,100,1,0,110.0,100
Sports,Saturday,Afternoon,Cloudy,Medium,4413,500,1,1,227.8,287
Fest,Saturday,Evening,Sunny,Medium,526,300,0,0,251.5,300
Sports,Friday,Morning,Sunny,Low,100,150,0,0,132.7,135
Technical,Thursday,Afternoon,Rainy,Medium,2973,200,1,0,60.8,174
Workshop,Monday,Afternoon,Cloudy,High,3454,100,0,0,20.0,100
Workshop,Tuesday,Afternoon,Sunny,High,4203,150,0,1,49.2,125
Technical,Tuesday,Afternoon,Cloudy,High,6266,1000,0,0,506.1,620
Sports,Sunday,Morning,Sunny,Medium,1436,150,0,0,39.5,150
Cultural,Wednesday,Afternoon,Sunny,Medium,3306,200,0,0,85.3,162
Technical,Sunday,Morning,Rainy,Medium,100,1500,0,1,583.4,246
Seminar,Tuesday,Afternoon,Cloudy,High,7503,1000,0,0,313.6,303
Technical,Wednesday,Afternoon,Cloudy,High,728,1000,0,0,511.7,596
Fest,Thursday,Morning,Sunny,Medium,2028,2000,0,0,1470.5,2000
Workshop,Tuesday,Evening,Cloudy,Medium,263,1500,0,0,505.3,328
Cultural,Friday,Afternoon,Cloudy,Low,5491,500,0,0,224.7,333
Workshop,Thursday,Morning,Cloudy,Medium,4914,500,0,1,195.7,170
Workshop,Tuesday,Afternoon,Sunny,Medium,8115,300,0,0,45.1,123
Sports,Friday,Morning,Sunny,Low,5332,300,0,0,163.3,269
Workshop,Sunday,Afternoon,Sunny,Medium,3220,1000,0,0,231.8,263
Fest,Friday,Evening,Sunny,Medium,3396,1000,0,0,786.8,1000
Technical,Thursday,Evening,Rainy,Medium,3833,100,0,1,72.9,100
Technical,Tuesday,Afternoon,Cloudy,High,5104,750,1,1,294.9,325
Sports,Thursday,Afternoon,Sunny,Medium,2484,750,0,1,334.4,364
Seminar,Wednesday,Morning,Sunny,Medium,5718,2000,0,0,362.3,253
Technical,Monday,Morning,Sunny,Low,100,200,0,0,85.2,108
Seminar,Tuesday,Afternoon,Sunny,Low,720,2000,0,0,351.3,214
Fest,Saturday,Afternoon,Cloudy,Medium,4627,500,0,0,433.0,500
Technical,Thursday,Evening,Sunny,Low,2566,750,0,0,293.1,332
Workshop,Wednesday,Afternoon,Cloudy,Medium,3913,100,1,1,20.0,94
Workshop,Tuesday,Evening,Sunny,Medium,2366,1500,1,0,444.2,397
Sports,Friday,Evening,Cloudy,Medium,100,2000,0,0,922.2,1080
Cultural,Monday,Afternoon,Sunny,Medium,2910,1500,0,0,899.9,873
Cultural,Friday,Evening,Sunny,High,7790,100,0,0,57.6,100
Workshop,Sunday,Evening,Sunny,Medium,4128,2000,0,0,549.9,444
Technical,Monday,Evening,Rainy,Low,100,200,0,0,95.1,95
Workshop,Friday,Morning,Cloudy,Medium,2201,100,0,0,20.0,100
Fest,Tuesday,Evening,Sunny,Medium,388,200,0,0,65.0,154
Sports,Tuesday,Evening,Sunny,Low,3720,300,0,0,165.2,188
Workshop,Monday,Evening,Rainy,Low,100,200,0,1,59.4,61
Technical,Saturday,Morning,Sunny,Low,2445,1500,0,1,659.2,417
Cultural,Monday,Morning,Sunny,Low,1720,100,0,0,110.0,100
Fest,Wednesday,Afternoon,Sunny,High,3552,500,0,0,239.4,500
Cultural,Saturday,Afternoon,Cloudy,High,5667,300,0,0,207.7,300
Cultural,Monday,Morning,Rainy,High,6280,100,0,0,88.5,100
Seminar,Tuesday,Morning,Sunny,Low,2889,300,0,1,82.0,84
Fest,Thursday,Afternoon,Sunny,High,1566,150,0,1,141.3,150
Sports,Tuesday,Morning,Cloudy,Low,3374,1000,0,0,453.0,294
Sports,Sunday,Morning,Sunny,High,2034,100,0,0,20.0,100
Seminar,Thursday,Evening,Sunny,Low,4960,1000,0,0,200.6,161
Seminar,Saturday,Evening,Sunny,Medium,4273,750,0,0,250.8,242
Cultural,Tuesday,Morning,Rainy,High,5565,300,0,0,164.4,268
Seminar,Tuesday,Afternoon,Sunny,Medium,100,150,0,0,20.0,65
Technical,Monday,Morning,Rainy,High,3914,100,0,0,37.2,100
Sports,Sunday,Afternoon,Sunny,Medium,2219,100,0,0,57.6,100
Seminar,Friday,Morning,Cloudy,Medium,6944,200,0,0,20.0,103
Sports,Thursday,Evening,Rainy,High,5871,200,0,0,138.1,200
Technical,Monday,Afternoon,Cloudy,Low,1986,300,0,1,154.9,164
Fest,Sunday,Afternoon,Sunny,Low,3426,1500,1,0,1101.6,1500
Cultural,Sunday,Morning,Rainy,Low,4228,2000,0,0,1033.1,609
Workshop,Saturday,Morning,Cloudy,Medium,818,100,0,1,82.3,100
Seminar,Saturday,Afternoon,Cloudy,High,1872,750,0,0,272.5,316
Cultural,Friday,Morning,Cloudy,High,2651,200,0,1,53.6,144
Fest,Wednesday,Evening,Cloudy,High,6370,2000,0,0,1535.0,2000
Technical,Thursday,Morning,Rainy,Low,6075,200,0,0,59.6,133
Sports,Tuesday,Morning,Sunny,Medium,6393,300,0,1,55.5,102
Sports,Sunday,Evening,Sunny,Medium,6627,300,0,0,67.5,202
Fest,Sunday,Morning,Sunny,Low,1749,2000,0,0,1551.7,2000
Sports,Friday,Afternoon,Cloudy,Medium,5548,1500,0,1,748.1,678
Fest,Friday,Afternoon,Rainy,Low,3493,300,0,0,206.6,266
Technical,Tuesday,Evening,Sunny,Medium,3879,2000,0,0,884.6,861
Fest,Sunday,Afternoon,Cloudy,Medium,4023,500,0,0,396.0,500
Seminar,Wednesday,Morning,Sunny,High,2117,200,0,0,20.0,103
Cultural,Thursday,Afternoon,Cloudy,Medium,4163,100,0,0,38.5,100
Workshop,Monday,Morning,Sunny,Low,1744,750,1,0,156.6,158
Cultural,Monday,Morning,Sunny,Low,1893,300,0,0,20.0,111
Fest,Sunday,Evening,Sunny,Medium,5819,300,0,0,209.9,300
Seminar,Wednesday,Evening,Sunny,Medium,3490,200,0,1,20.0,84
Fest,Sunday,Morning,Sunny,Low,5524,150,0,0,20.0,109
Cultural,Monday,Afternoon,Sunny,High,4603,2000,0,0,1206.2,1481
Fest,Thursday,Evening,Sunny,High,2208,200,0,0,107.0,200
Seminar,Sunday,Afternoon,Sunny,Low,6749,2000,0,1,559.7,322
Fest,Wednesday,Morning,Sunny,High,5576,1000,0,1,805.3,942
Workshop,Monday,Morning,Cloudy,High,3901,1500,0,0,338.8,265
Sports,Friday,Evening,Rainy,Low,2830,750,0,1,332.0,227
Workshop,Saturday,Afternoon,Rainy,High,4347,2000,0,0,545.2,493
Seminar,Friday,Afternoon,Cloudy,Low,4279,750,0,0,122.4,140
Fest,Friday,Evening,Sunny,High,4617,300,1,0,249.1,300
Technical,Friday,Afternoon,Cloudy,High,2303,500,1,0,311.0,500
Fest,Monday,Morning,Cloudy,High,1072,200,0,0,135.9,200
Workshop,Sunday,Evening,Sunny,Medium,2481,100,0,0,74.2,100
Seminar,Wednesday,Morning,Sunny,Medium,3751,300,1,1,105.6,131
Cultural,Wednesday,Morning,Rainy,Low,100,150,1,0,20.0,70
Fest,Wednesday,Morning,Sunny,Medium,3373,750,0,1,612.0,663
Cultural,Wednesday,Morning,Cloudy,High,5277,2000,0,1,1068.4,1033
Seminar,Thursday,Morning,Sunny,Low,2208,1500,0,1,376.8,183
Sports,Thursday,Afternoon,Cloudy,Medium,5977,2000,0,0,956.9,1045
Seminar,Sunday,Morning,Sunny,High,2130,200,0,0,20.0,104
Sports,Monday,Afternoon,Rainy,Medium,100,1000,0,1,433.7,246
Seminar,Saturday,Morning,Cloudy,Medium,3960,200,0,0,30.2,104
Seminar,Wednesday,Afternoon,Sunny,Low,5313,1000,0,0,212.1,187
Sports,Thursday,Afternoon,Rainy,Medium,3912,100,0,0,20.0,82
Technical,Friday,Morning,Sunny,Low,5668,1500,0,0,602.8,517
Technical,Friday,Morning,Cloudy,Low,3139,200,1,0,81.2,147
Fest,Friday,Morning,Sunny,Medium,4034,1500,0,0,1193.0,1500
Seminar,Sunday,Evening,Sunny,High,3793,150,0,0,20.0,107
Sports,Sunday,Morning,Sunny,Low,3837,2000,0,0,976.5,774
Cultural,Wednesday,Afternoon,Sunny,Low,3537,200,0,0,41.4,132
Technical,Monday,Afternoon,Sunny,Medium,2402,1000,0,0,430.6,462
Technical,Saturday,Morning,Cloudy,Medium,1767,200,0,0,100.7,199
Workshop,Tuesday,Evening,Sunny,Medium,100,2000,0,0,508.4,406
Technical,Sunday,Afternoon,Sunny,Medium,5059,300,0,1,118.2,187
Cultural,Thursday,Afternoon,Cloudy,Medium,5944,100,0,0,61.7,100
Seminar,Thursday,Afternoon,Sunny,Low,4336,200,0,1,20.0,82
Seminar,Tuesday,Morning,Sunny,Medium,3979,200,0,1,99.2,89
Fest,Thursday,Morning,Sunny,Medium,527,150,0,0,90.3,150
Cultural,Friday,Evening,Sunny,Medium,3622,500,0,0,304.6,500
Cultural,Wednesday,Evening,Cloudy,Medium,1283,150,0,0,20.0,113
Seminar,Thursday,Morning,Sunny,Medium,4015,200,0,0,20.0,101
Fest,Wednesday,Evening,Sunny,High,3401,300,0,0,177.9,300
Workshop,Saturday,Evening,Sunny,Medium,100,100,0,1,110.0,100
Seminar,Saturday,Evening,Sunny,High,1836,300,0,0,20.0,101
Fest,Wednesday,Evening,Sunny,High,3462,1000,0,0,751.7,1000
Fest,Friday,Afternoon,Sunny,Medium,4314,2000,0,1,1542.6,2000
Seminar,Monday,Evening,Sunny,High,4433,500,1,0,141.7,196
Cultural,Saturday,Afternoon,Sunny,Medium,1754,750,0,0,478.3,750
Cultural,Friday,Morning,Sunny,High,3502,150,0,0,33.5,125
Workshop,Tuesday,Evening,Sunny,Low,1974,1500,0,1,396.6,168
Technical,Monday,Morning,Sunny,Low,6221,200,0,1,20.0,63
Cultural,Thursday,Afternoon,Sunny,Medium,3867,150,0,1,96.7,150
Workshop,Friday,Evening,Cloudy,Low,4612,1000,0,0,323.7,297
Fest,Saturday,Morning,Sunny,High,5360,2000,0,1,1539.8,2000
Technical,Wednesday,Afternoon,Sunny,High,5201,200,0,1,76.8,155
Cultural,Friday,Morning,Rainy,High,2334,1000,0,0,607.9,768
Technical,Thursday,Evening,Rainy,Medium,3906,2000,0,0,832.9,660
Workshop,Monday,Evening,Sunny,Low,3250,200,0,0,27.8,124
Seminar,Thursday,Evening,Cloudy,Medium,5578,750,0,0,164.2,154
Workshop,Tuesday,Evening,Sunny,Medium,5135,500,0,0,89.0,156
Sports,Wednesday,Morning,Sunny,Low,4981,500,0,0,206.7,214
Technical,Wednesday,Evening,Sunny,High,1511,300,0,0,128.8,267
Fest,Monday,Evening,Cloudy,High,1973,1500,0,0,1170.6,1500
Seminar,Monday,Morning,Cloudy,Low,924,2000,0,0,509.3,165
Workshop,Sunday,Evening,Sunny,High,395,100,0,0,74.8,100
Seminar,Tuesday,Afternoon,Sunny,Medium,4632,1000,0,0,352.6,258
Sports,Sunday,Afternoon,Sunny,Low,4177,1000,0,0,415.3,473
Workshop,Sunday,Evening,Cloudy,Low,2760,100,1,0,45.6,100
Technical,Saturday,Afternoon,Cloudy,High,1829,300,0,1,252.9,300
Seminar,Tuesday,Morning,Rainy,Medium,3869,750,0,0,158.5,115
Sports,Saturday,Afternoon,Sunny,Low,100,100,0,0,83.4,100
Sports,Tuesday,Afternoon,Cloudy,Low,8056,2000,1,0,900.7,790
Technical,Wednesday,Evening,Sunny,High,5599,1000,0,0,405.9,611
Technical,Wednesday,Afternoon,Cloudy,Medium,408,2000,0,1,903.7,477
Sports,Friday,Afternoon,Sunny,High,2284,1500,0,0,758.1,1500
Technical,Wednesday,Morning,Sunny,Low,573,1000,0,0,383.9,292
Workshop,Friday,Evening,Sunny,High,3528,100,0,0,20.0,100
Seminar,Thursday,Morning,Cloudy,Medium,4872,500,0,1,58.6,84
Cultural,Friday,Morning,Cloudy,High,597,300,0,0,164.3,300
Workshop,Saturday,Morning,Sunny,Low,2658,200,0,0,81.2,139
Seminar,Thursday,Afternoon,Cloudy,Medium,100,300,0,0,86.7,95
Technical,Friday,Morning,Sunny,Medium,2525,2000,1,0,784.8,751
Sports,Wednesday,Afternoon,Cloudy,High,5123,750,0,1,436.5,522
Seminar,Monday,Evening,Sunny,Low,3972,750,0,0,184.0,186
Technical,Wednesday,Evening,Sunny,Medium,4336,150,1,0,147.8,150
Workshop,Sunday,Morning,Sunny,Medium,493,100,0,0,63.9,100
Cultural,Sunday,Evening,Sunny,High,3090,1000,0,0,545.9,1000
Seminar,Wednesday,Morning,Cloudy,Medium,1272,1000,0,0,302.5,121
Workshop,Tuesday,Morning,Sunny,High,4472,1500,0,0,487.4,373
Fest,Monday,Morning,Rainy,Low,9346,100,0,0,102.7,100
Technical,Thursday,Evening,Sunny,Low,3512,1500,0,0,718.7,643
Workshop,Thursday,Morning,Sunny,Low,3703,500,0,0,210.6,156
Fest,Friday,Afternoon,Sunny,Medium,7126,150,0,0,76.8,150
Seminar,Thursday,Afternoon,Cloudy,Low,3193,1000,0,1,207.3,123
Cultural,Sunday,Afternoon,Rainy,Low,3726,100,1,0,20.0,100
Technical,Wednesday,Morning,Sunny,Low,924,150,0,0,120.7,124
Fest,Tuesday,Evening,Cloudy,Low,3266,750,0,0,537.9,705
Seminar,Tuesday,Afternoon,Rainy,Low,1748,2000,0,0,382.6,150
Workshop,Tuesday,Morning,Sunny,Low,4602,2000,0,0,570.4,306
Workshop,Monday,Morning,Sunny,High,5839,2000,0,1,617.5,329
Cultural,Saturday,Afternoon,Sunny,Low,4956,750,0,1,393.1,468
Sports,Monday,Evening,Sunny,Medium,4094,100,0,0,20.0,100
Technical,Friday,Evening,Sunny,High,2102,100,0,0,20.0,100
Cultural,Monday,Evening,Cloudy,Medium,2898,1000,0,1,466.0,454
Cultural,Saturday,Morning,Sunny,High,3129,1500,1,0,787.8,1309
Workshop,Monday,Afternoon,Rainy,Low,4069,500,0,1,200.8,121
Workshop,Tuesday,Evening,Rainy,Low,6498,150,0,0,41.3,97
Sports,Saturday,Evening,Sunny,Medium,6752,750,0,0,339.5,620
Seminar,Monday,Afternoon,Rainy,Medium,4641,200,0,0,103.1,113
Cultural,Sunday,Morning,Sunny,Medium,1849,300,1,1,201.9,251
Seminar,Thursday,Afternoon,Sunny,Medium,2022,1000,1,0,159.5,170
Technical,Saturday,Morning,Cloudy,High,5566,1000,0,0,285.7,403
Fest,Thursday,Evening,Sunny,Medium,3724,1000,0,0,879.7,1000
Cultural,Sunday,Evening,Sunny,Medium,4349,1000,0,0,505.8,810
Workshop,Wednesday,Morning,Sunny,High,7241,100,0,0,50.9,100
Fest,Monday,Afternoon,Sunny,High,3506,100,0,1,98.8,100
Technical,Sunday,Morning,Sunny,High,4574,1000,1,0,505.1,791
Sports,Tuesday,Morning,Cloudy,Medium,3053,1500,0,1,709.3,497
Sports,Saturday,Morning,Sunny,Medium,1899,200,0,1,91.2,152
Fest,Saturday,Evening,Sunny,High,3616,300,0,0,304.5,300
Workshop,Friday,Evening,Sunny,Medium,991,200,0,0,20.0,116
Cultural,Sunday,Evening,Rainy,Medium,2934,150,0,0,98.6,150
Technical,Thursday,Morning,Cloudy,High,5752,1000,0,0,471.4,476
Workshop,Monday,Evening,Rainy,Medium,6512,100,0,0,110.0,100
Cultural,Friday,Morning,Cloudy,Low,6238,750,0,0,306.9,373
Technical,Tuesday,Afternoon,Sunny,Medium,5220,1000,0,1,480.6,341
Sports,Saturday,Evening,Cloudy,Medium,1473,500,0,0,279.6,500
Workshop,Sunday,Evening,Sunny,Low,4574,500,0,0,126.1,147
Fest,Saturday,Morning,Rainy,Low,5460,500,0,0,408.9,459
Seminar,Sunday,Morning,Cloudy,High,637,100,0,0,92.2,100
Seminar,Tuesday,Evening,Rainy,Low,2908,100,0,0,88.5,100
Sports,Tuesday,Evening,Rainy,Medium,5726,200,0,1,73.9,139
Cultural,Friday,Evening,Cloudy,Medium,4235,1000,0,1,424.0,608
Technical,Saturday,Evening,Rainy,High,5270,1000,1,0,437.1,724
Technical,Wednesday,Evening,Rainy,Low,4308,750,0,0,257.4,208
Technical,Friday,Afternoon,Sunny,Low,7139,100,0,0,67.4,100
Fest,Saturday,Evening,Cloudy,High,190,150,1,0,148.6,150
Fest,Thursday,Morning,Sunny,Low,5725,300,1,1,164.7,243
Seminar,Wednesday,Evening,Cloudy,Medium,5290,1000,1,0,187.1,209
Technical,Sunday,Evening,Cloudy,Low,5140,1000,0,0,468.8,494
Seminar,Wednesday,Afternoon,Sunny,Low,2143,150,1,0,31.5,124
Seminar,Saturday,Morning,Rainy,Medium,100,1500,0,0,262.1,151
Workshop,Tuesday,Evening,Sunny,Medium,4690,300,0,0,49.1,129
Sports,Thursday,Afternoon,Cloudy,Low,1803,750,0,0,363.2,331
Technical,Sunday,Evening,Sunny,High,1128,500,0,0,73.2,223
Cultural,Sunday,Evening,Sunny,High,4863,100,0,1,56.0,100
Seminar,Monday,Evening,Cloudy,Medium,3910,1000,0,0,209.3,191
Seminar,Friday,Morning,Cloudy,Medium,100,2000,0,1,473.6,202
Technical,Friday,Evening,Sunny,Medium,1682,500,0,1,169.6,247
Fest,Monday,Afternoon,Sunny,High,3118,200,1,0,186.2,200
Seminar,Saturday,Morning,Sunny,Low,2778,500,0,0,144.8,156
Workshop,Thursday,Morning,Sunny,Low,4250,100,0,0,77.2,100
Seminar,Sunday,Afternoon,Cloudy,High,5229,1000,0,0,316.1,325
Cultural,Friday,Afternoon,Cloudy,Low,3837,500,0,0,201.9,310
Technical,Thursday,Afternoon,Cloudy,Low,4945,300,1,1,100.3,149
Technical,Sunday,Morning,Cloudy,High,5014,1500,0,0,710.8,789
Fest,Wednesday,Evening,Cloudy,Medium,5008,100,0,1,20.0,100
Seminar,Friday,Evening,Sunny,High,3167,200,0,0,20.0,102
Sports,Sunday,Evening,Cloudy,Medium,5247,750,0,0,266.7,450
Workshop,Tuesday,Morning,Sunny,Medium,3009,2000,0,0,510.1,332
Fest,Wednesday,Morning,Sunny,High,4780,100,0,0,66.1,100
Fest,Friday,Morning,Rainy,Low,1204,1500,0,0,1212.0,1089
Cultural,Wednesday,Evening,Sunny,Low,1602,100,0,1,110.0,100
Technical,Saturday,Morning,Cloudy,High,1287,500,0,1,233.7,279
Technical,Thursday,Afternoon,Cloudy,High,5051,300,0,0,209.8,300
Workshop,Sunday,Evening,Cloudy,High,3238,200,0,0,42.0,147
Technical,Thursday,Morning,Sunny,Low,2036,500,0,0,197.6,201
Workshop,Wednesday,Afternoon,Rainy,Low,4032,1000,0,0,295.1,172
Fest,Thursday,Afternoon,Cloudy,Low,2350,500,0,0,362.3,417
Seminar,Sunday,Morning,Sunny,Medium,3751,750,1,0,139.4,180
